번호,명칭,상세,지정번호,지정구분,분류,수량,면적,소유자,소재지,지정일,,,,
92,해남읍 단군전,사당,12,군,향토문화유산,,1021,해남군,전라남도 해남군 해남읍 구교리 346,2006-01-01,,,,
93,현산면 효열부 나주임씨정려,정려,13,군,향토문화유산,,44,사유,전라남도 해남군 현산면 백포리 739-3,2006-01-01,,,,
94,탑동 5층석탑,석탑,14,군,향토문화유산,,74,국유,전라남도 해남군 옥천면 청신리 838-9,2006-01-01,,,,
95,북일 금당 해남윤씨재실,재실,15,군,향토문화유산,,1263,사유,전라남도 해남군 북일면 금당리 515-2,2009-09-30,,,,
96,해남읍 용정사(오충사),사우,16,군,향토문화유산,,2465,사유,전라남도 해남군 해남읍 용정리 601,2010-05-26,,,,
97,계곡 장흠임씨 당산마을 고문서 일괄,고문서,17,군,향토문화유산,19종 64건,,사유,전라남도 해남군 계곡면 당산리 107-1,2010-05-26,,,,
98,화원 정어사 철비,철비,18,군,향토문화유산,1기,,국유,전라남도 해남군 화원면 금평리 239,2010-05-26,,,,
99,북평 달량진성,석성,19,군,향토문화유산,,826,사유,전라남도 해남군 풍평면 남창리 282-7,2010-11-19,,,,
100,송지 어란당집,사당,20,군,향토문화유산,,18,사유,전라남도 해남군 송지면 어란리,2011-07-06,,,,
101,문내 효자 조석창 감응비각,정려,21,군,향토문화유산,,10,사유,전라남도 해남군 문내면 학동리 1128,2011-07-06,,,,
102,계곡 운곡사영모당,재실,22,군,향토문화유산,,52.9,사유,전라남도 해남군 계곡면 당산리 678,2011-12-29,,,,
103,해남읍 죽음사 영모제,재실,23,군,향토문화유산,,853,사유,전라남도 해남군 해남읍 연동리 814,2013-08-01,,,,
104,신안리 석불입상 및 석탑,"석불(1.7*0.6), 석탑(1.4*1.3)",24,군,향토문화유산,,,사유,전라남도 해남군 해남읍 신안리 산52,2015-06-29,,,,
105,대장장이,무형,25,군,향토문화유산,,,사유,전라남도 해남군 옥천면 신죽리 641,2015-06-29,,,,
106,대장장이,무형,26,군,향토문화유산,,,사유,전라남도 해남군 문내면 용암리 108,2015-06-29,,,,
107,금강산성,석성,27,군,향토문화유산,,519,해남군,전라남도 해남군 해남읍 금강산,2015-06-29,,,,
108,신안리 지석묘,지석묘,28,군,향토문화유산,,119,사유,전라남도 해남군 해남읍 신안리 110,2015-06-29,,,,
109,관두산 봉수지,봉화대,29,군,향토문화유산,,50,해남군,전라남도 해남군 화산면 관동리 산79-1,2015-06-29,,,,
110,효자 임근 묘갈명비,효행비,30,군,향토문화유산,,,사유,전라남도 해남군 계곡면 당산리 산144,2015-06-29,,,,
111,옥공예 명인,무형,31,군,향토문화유산,,,사유,전라남도 해남군 황산면 명량로 953,2015-06-29,,,,
112,옥공예 명인,무형,32,군,향토문화유산,,,사유,전라남도 해남군 황산면 명량로 976,2015-06-29,,,,
113,옥공예 명인,무형,33,군,향토문화유산,,,사유,전라남도 해남군 황산면 명량로 974,2015-06-29,,,,
114,도자기공예 명인,무형,34,군,향토문화유산,,,사유,전라남도 해남군 황산면 연자로 122,2015-06-29,,,,
115,광보사 육경합부,책자,35,군,향토문화유산,,,사유,전라남도 해남군 옥천면 옥동길 19-20,2016-08-26,,,,
116,이한봉 고택,가옥,36,군,향토문화유산,,105.7,사유,전라남도 해남군 해남읍 복평리 219-1,2019-01-04,,,,
117,효자김석한정려,정려,37,군,향토문화유산,,15,사유,전라남도 해남군 북평면 남창리 309-,2019-01-04,,,,
118,동해리 석정,우물,38,군,향토문화유산,,50,해남군,전라남도 해남군 북평면 동해리 802,2019-01-04,,,,
119,정영철 고택,가옥,39,군,향토문화유산,,320,사유,전라남도 해남군 황산면 평덕길 101,2019-01-04,,,,
120,해남 오구굿,무형,40,군,향토문화유산,,,사유,전라남도 해남군 해남읍 해남로 160-21,2020-10-07,,,,
121,화산 호미재,재실,41,군,향토문화유산,,81,사유,전라남도 해남군 화산면 월호리 717,2020-10-07,,,,
122,현산 고다산성,석성,42,군,향토문화유산,,"10,304",사유,전라남도 해남군 현산면 읍호리 264,2020-10-07,,,,
123,광보사 지장보살본원경,전적,43,군,향토문화유산,,,사유,전라남도 해남군 옥천면 옥동길 19-20,2020-10-07,,,,
